x,y,z,v
-13,28,13,0
-13,27,13,0
-13,26,13,0
-13,25,13,0
-13,24,13,0
-13,23,13,0
-13,22,13,0
-13,21,13,0
-13,20,13,19
-13,19,13,20
-13,18,13,20
-13,17,13,20
-13,16,13,20
-13,15,13,20
-13,14,13,20
-13,13,13,20
-13,12,13,20
-13,11,13,20
-13,10,13,20
-13,9,13,20
-13,8,13,20
-13,7,13,20
-13,6,13,20
-13,5,13,20
-13,4,13,20
-13,3,13,20
-13,2,13,20
-13,1,13,20
-13,0,13,20
-12,0,13,20
-12,1,13,20
-12,2,13,20
-12,3,13,20
-12,4,13,20
-12,5,13,20
-12,6,13,20
-12,7,13,20
-12,8,13,20
-12,9,13,20
-12,10,13,20
-12,11,13,20
-12,12,13,20
-12,13,13,20
-12,14,13,20
-12,15,13,20
-12,16,13,20
-12,17,13,20
-12,18,13,20
-12,19,13,20
-12,20,13,20
-12,21,13,0
-12,22,13,0
-12,23,13,0
-12,24,13,0
-12,25,13,0
-12,26,13,0
-12,27,13,0
-12,28,13,0
-12,29,13,0
-12,30,13,0
-12,31,13,0
-12,32,13,0
-12,33,13,0
-12,34,13,0
-12,35,13,0
-12,36,13,0
-12,37,13,0
-12,38,13,0
-12,39,13,0
-11,39,13,0
-11,38,13,0
-11,37,13,0
-11,36,13,0
-11,35,13,0
-11,34,13,0
-11,33,13,0
-11,32,13,0
-11,31,13,0
-11,30,13,0
-11,29,13,0
-11,28,13,0
-11,27,13,0
-11,26,13,0
-11,25,13,0
-11,24,13,0
-11,23,13,0
-11,22,13,0
-11,21,13,0
-11,20,13,18
-11,19,13,20
-11,18,13,20
-11,17,13,20
-11,16,13,20
-11,15,13,20
-11,14,13,20
-11,13,13,20
-11,12,13,20
-11,11,13,20
-11,10,13,20
-11,9,13,20
-11,8,13,20
-11,7,13,20
-11,6,13,20
-11,5,13,20
-11,4,13,20
-11,3,13,20
-11,2,13,20
-11,1,13,20
-11,0,13,20
-10,0,13,20
-10,1,13,20
-10,2,13,20
-10,3,13,20
-10,4,13,20
-10,5,13,20
-10,6,13,20
-10,7,13,20
-10,8,13,20
-10,9,13,20
-10,10,13,20
-10,11,13,20
-10,12,13,20
-10,13,13,20
-10,14,13,20
-10,15,13,20
-10,16,13,20
-10,17,13,20
-10,18,13,20
-10,19,13,20
